Neighborhood,Mean_Price_USD,Mean_Area_SQM,Mean_Price_Per_SQM,Total_Listings,Dubizzle_Count,FB_Count,Latitude,Longitude
Achrafieh,661894.02,207.85,3099.35,184,182,2,33.88426562,35.52113167
Ain el-Mreisseh,931250.0,244.38,3642.4,8,8,0,33.89916066,35.47483536
Antelias,145000.0,90.0,1611.11,1,0,1,33.91434045,35.59472258
Baabda,235000.0,107.5,2183.98,2,0,2,33.84643582,35.54531972
Bachoura,431000.0,230.0,1927.1,2,2,0,33.89031715,35.50391804
Beirut Central District,1813333.33,327.0,5609.21,12,12,0,33.90799262,35.52191979
Chiyah,802500.0,322.86,2586.14,14,13,1,33.854971,35.49353746
Furn Ech-Chebbak,222000.0,126.67,1750.79,3,3,0,33.87111842,35.52768153
Jall Ed-Did,150000.0,90.0,1666.67,1,0,1,33.90586099,35.58037885
L20705 Corniche Canal 7,315000.0,165.0,1909.09,1,1,0,,
Mazraa,424629.63,191.44,2078.99,27,25,2,33.87444831,35.50674399
Medawar,273571.43,106.86,2295.62,7,6,1,33.90192198,35.53029396
Minet el-Hosn,836666.67,203.33,4284.19,3,3,0,33.90042644,35.49633758
Moussaytbeh,733928.03,242.17,2861.99,66,63,3,33.88159006,35.48821684
Ras Beyrouth,995750.0,267.91,3464.05,76,73,3,33.89083207,35.47784863
Remeil,550000.0,180.0,3055.56,1,1,0,33.89447514,35.52357541
Saifeh,1132352.88,246.65,4608.87,17,16,1,33.89261907,35.50898343
Sinn El-Fil,140000.0,90.0,1555.56,1,0,1,33.8764007,35.5350559
Ze26-5062 Apartment For– Unesco Area,625000.0,250.0,2500.0,2,2,0,,
Zoukak el-Blatt,515000.0,250.0,2060.0,1,1,0,33.8931518,35.49902581
